Title: Bunker Lifting List;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Filters:;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Port is in the list P001,P003,P002,P004;;;;;;;;;;;;;;;;;;
Fuel Type is in the list LSF;;;;;;;;;;;;;;;;;;
Delivery Date is in range (01.01.2020 00:00 - 31.01.2025 00:00);;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Purchase Status;Requirement ID;Vessel;Voyage No.;Port;Ordered Qty;Fuel Type;Delivery Date;Payment Due Date;Barge Name;Claims;Invoice Price;Invoice No.;Vendor;Supplier;Invoiced Qty;Claim Details;Order Price;Purchase Comments
Invoiced;6389;V001;VOY019;P004;297,50;LSF;03.10.2020;03.10.2020;B081;;328,17;INV00779;VEND010;SUP012;297,50;;328,17;
Invoiced;6906;V001;VOY023;P004;247,25;LSF;13.03.2021;13.03.2021;B057;;534,52;INV00817;VEND010;SUP012;247,25;;534,52;
Invoiced;7069;V001;VOY025;P004;249,61;LSF;04.05.2021;04.05.2021;B078;;501,77;INV00834;VEND010;SUP012;249,61;;501,77;
Invoiced;7489;V001;VOY030;P004;258,93;LSF;25.09.2021;25.09.2021;B049;;547,24;INV00875;VEND010;SUP012;258,93;;547,24;
Invoiced;5700;V001;VOY007;P004;239,87;LSF;15.01.2020;14.02.2020;B062;;688,00;INV00652;VEND013;SUP016;239,87;;688,00;
Invoiced;5818;V001;VOY010;P004;238,75;LSF;03.03.2020;02.04.2020;B125;;489,00;INV00379;VEND020;SUP023;238,75;;489,00;
Invoiced;10089;V002;VOY062;P001;1 099,00;LSF;26.09.2024;26.09.2024;B005;;563,00;INV00689;VEND001;SUP001;1 099,00;;563,00;
Invoiced;8547;V002;VOY040;P003;699,87;LSF;21.10.2022;20.11.2022;B101;;647,25;INV00590;VEND004;SUP003;699,87;;647,25;
Lifted;9379;V002;VOY050;P003;750,55;LSF;29.10.2023;28.11.2023;B101;;591,00;INV00630;VEND004;SUP003;750,55;;591,00;
Invoiced;7877;V002;VOY034;P003;700,00;LSF;04.02.2022;06.03.2022;B211;;692,25;INV00255;VEND008;SUP009;699,79;;692,25;
Invoiced;8122;V002;VOY036;P003;400,49;LSF;22.04.2022;22.05.2022;B211;;790,25;INV00274;VEND008;SUP009;400,49;;790,25;
Invoiced;8768;V002;VOY042;P003;749,41;LSF;02.02.2023;04.03.2023;B059;;582,25;INV00309;VEND008;SUP009;749,41;;582,50;
Invoiced;9483;V002;VOY052;P003;749,80;LSF;02.02.2024;03.03.2024;B208;;573,00;INV00329;VEND008;SUP009;748,96;;573,00;
Invoiced;9289;V002;VOY050;P004;746,83;LSF;18.09.2023;18.09.2023;B078;;659,45;INV001009;VEND010;SUP012;746,83;;659,45;
Invoiced;7274;V002;VOY023;P004;1 000,25;LSF;16.07.2021;16.07.2021;B057;;539,47;INV00855;VEND010;SUP012;1 000,25;;539,47;
Invoiced;7106;V002;VOY022;P001;695,16;LSF;16.05.2021;15.06.2021;B095;;506,00;INV0020;VEND012;SUP015;695,61;;506,00;
Invoiced;8329;V002;VOY038;P003;149,53;LSF;19.07.2022;18.08.2022;B219;;888,00;INV001334;VEND025;SUP027;149,53;;888,00;
Invoiced;9087;V002;VOY049;P001;497,20;LSF;07.07.2023;06.08.2023;B127;;568,00;INV001289;VEND039;SUP042;497,40;;569,00;
Invoiced;8263;V003;VOY036;P001;891,49;LSF;17.06.2022;17.07.2022;B162;;1 048,00;INV00685;VEND015;SUP001;891,49;;1 048,00;
Invoiced;7673;V003;VOY026;P004;797,67;LSF;25.12.2021;24.01.2022;B054;;593,00;INV00585;VEND004;SUP003;797,67;;593,00;
Invoiced;8972;V003;VOY049;P003;1 022,07;LSF;29.05.2023;28.06.2023;B221;;505,75;INV00609;VEND004;SUP003;1 022,07;;505,75;
Invoiced;9197;V003;VOY051;P003;593,00;LSF;08.09.2023;08.10.2023;B099;;611,75;INV00621;VEND004;SUP003;593,00;;611,75;
Invoiced;8397;V003;VOY037;P004;548,87;LSF;09.08.2022;08.09.2022;B180;;895,00;INV001157;VEND007;SUP008;548,88;;895,00;"
"
Invoiced;5698;V003;VOY002;P003;999,92;LSF;14.01.2020;13.02.2020;B051;;543,75;INV00105;VEND008;SUP009;999,32;;543,75;Platts compared on ordering date
Invoiced;5985;V003;VOY009;P003;749,60;LSF;17.05.2020;16.06.2020;B149;;223,25;INV00127;VEND008;SUP009;749,69;;223,25;
Invoiced;7385;V003;VOY024;P003;500,35;LSF;19.08.2021;18.09.2021;B211;;493,50;INV00227;VEND008;SUP009;500,35;;493,50;
Invoiced;7913;V003;VOY034;P003;600,19;LSF;15.02.2022;17.03.2022;B211;;676,00;INV00261;VEND008;SUP009;600,19;;676,00;
Invoiced;8795;V003;VOY046;P003;931,00;LSF;20.02.2023;22.03.2023;B207;;574,75;INV00312;VEND008;SUP009;931,00;;574,75;
Invoiced;10147;V003;VOY062;P003;1 000,11;LSF;05.10.2024;04.11.2024;B002;;550,00;INV00357;VEND008;SUP009;998,99;;550,00;
Invoiced;9576;V003;VOY058;P004;498,09;LSF;02.04.2024;02.04.2024;B078;;645,81;INV001061;VEND010;SUP012;498,09;;645,81;
Invoiced;9807;V003;VOY059;P004;1 093,24;LSF;12.05.2024;12.05.2024;B078;;627,91;INV001071;VEND010;SUP012;1 093,24;;627,91;
Invoiced;9931;V003;VOY061;P004;547,94;LSF;08.07.2024;08.07.2024;B078;;631,56;INV001083;VEND010;SUP012;547,94;;631,56;
Invoiced;10050;V003;VOY062;P004;1 099,07;LSF;26.08.2024;26.08.2024;B081;;599,05;INV001094;VEND010;SUP012;1 099,07;;599,05;
Lifted;10354;V003;VOY063;P004;499,00;LSF;29.12.2024;29.12.2024;B057;;556,21;INV001118;VEND010;SUP012;499,00;;556,21;
Invoiced;5849;V003;VOY009;P004;827,50;LSF;05.04.2020;05.04.2020;B081;;265,43;INV00725;VEND010;SUP012;827,39;;265,43;
Invoiced;6351;V003;VOY012;P004;999,90;LSF;26.09.2020;26.09.2020;B078;;329,21;INV00778;VEND010;SUP012;999,90;;329,21;
Invoiced;6938;V003;VOY022;P004;698,59;LSF;13.04.2021;13.04.2021;B081;;481,98;INV00828;VEND010;SUP012;698,59;;481,98;
Invoiced;8514;V003;VOY038;P004;245,99;LSF;05.10.2022;05.10.2022;B078;;697,41;INV00926;VEND010;SUP012;245,99;;697,41;
Invoiced;7083;V003;VOY023;P001;585,79;LSF;17.05.2021;16.06.2021;B070;;513,00;INV0019;VEND012;SUP015;585,79;;513,00;
