Title: Bunker Lifting List;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Filters:;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Port is in the list P001,P003,P002,P004;;;;;;;;;;;;;;;;;;
Fuel Type is in the list LSF;;;;;;;;;;;;;;;;;;
Delivery Date is in range (01.01.2020 00:00 - 31.01.2025 00:00);;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Purchase Status;Requirement ID;Vessel;Voyage No.;Port;Ordered Qty;Fuel Type;Delivery Date;Payment Due Date;Barge Name;Claims;Invoice Price;Invoice No.;Vendor;Supplier;Invoiced Qty;Claim Details;Order Price;Purchase Comments
Invoiced;5611;V026;VOY003;P004;1 068,43;LSF;04.01.2020;04.01.2020;B060;;561,39;INV00703;VEND010;SUP012;1 068,43;;559,47;
Invoiced;5600;V023;VOY002;P001;648,20;LSF;06.01.2020;05.02.2020;B083;Density;692,00;INV001337;VEND011;SUP014;648,24;BDN 933.9, test result 926.7 = 5mt;692,00;
Invoiced;5574;V083;VOY005;P003;644,55;LSF;09.01.2020;09.01.2020;B213;;565,00;INV0069;VEND018;SUP022;644,55;;565,00;Short lift 5,753 mt LSGO
Invoiced;5619;V086;VOY005;P004;998,98;LSF;09.01.2020;09.01.2020;B060;;564,93;INV00704;VEND010;SUP012;998,98;;569,90;
Invoiced;5660;V091;VOY008;P004;449,77;LSF;10.01.2020;10.01.2020;B060;;583,76;INV00705;VEND010;SUP012;449,77;;583,76;
Invoiced;5657;V068;VOY003;P003;483,60;LSF;13.01.2020;13.01.2020;B220;;588,00;INV0076;VEND027;SUP029;483,59;;588,00;
Invoiced;5620;V049;VOY002;P004;998,79;LSF;14.01.2020;14.01.2020;B082;;583,76;INV00706;VEND010;SUP012;998,79;;583,76;
Invoiced;5698;V003;VOY002;P003;999,92;LSF;14.01.2020;13.02.2020;B051;;543,75;INV00105;VEND008;SUP009;999,32;;543,75;Platts compared on ordering date
Invoiced;5700;V001;VOY007;P004;239,87;LSF;15.01.2020;14.02.2020;B062;;688,00;INV00652;VEND013;SUP016;239,87;;688,00;
Invoiced;5711;V056;VOY001;P003;850,60;LSF;16.01.2020;15.02.2020;B051;;541,50;INV00106;VEND008;SUP009;850,64;;541,50;
Invoiced;5656;V046;VOY004;P003;149,77;LSF;17.01.2020;16.02.2020;B018;;554,00;INV001330;VEND025;SUP027;149,77;;554,00;
Invoiced;5667;V058;VOY002;P004;848,75;LSF;21.01.2020;21.01.2020;B187;;556,49;INV00707;VEND010;SUP012;848,75;;556,49;
Invoiced;5673;V019;VOY003;P004;547,61;LSF;22.01.2020;22.01.2020;B057;;568,71;INV00708;VEND010;SUP012;547,63;;568,71;
Invoiced;5696;V075;VOY008;P004;417,00;LSF;23.01.2020;23.01.2020;B057;;521,92;INV00709;VEND010;SUP012;417,00;;521,92;
Invoiced;5725;V015;VOY008;P004;178,41;LSF;24.01.2020;23.02.2020;B123;;665,00;INV00653;VEND013;SUP016;178,41;;665,00;
Invoiced;5697;V071;VOY008;P004;747,86;LSF;26.01.2020;26.01.2020;B082;;521,92;INV00713;VEND010;SUP012;747,86;;521,92;
Invoiced;5604;V006;VOY008;P004;759,65;LSF;27.01.2020;27.01.2020;B082;;527,66;INV00712;VEND010;SUP012;759,65;;527,66;
Invoiced;5712;V067;VOY008;P004;832,32;LSF;27.01.2020;27.01.2020;B081;;639,00;INV00710;VEND010;SUP012;832,32;;639,00;
Invoiced;5583;V032;VOY003;P004;798,96;LSF;29.01.2020;29.01.2020;B060;;527,66;INV00711;VEND010;SUP012;798,96;;527,66;
