Date_UTC;Time_UTC;Event;Purposes_Of_Call;Time_Since_Previous_Report;Distance;Latitude_North_South;Latitude_Degree;Latitude_Minutes;Longitude_East_West;Longitude_Degree;Longitude_Minutes;Voyage_From;Voyage_To;Voyage_Number;Offhire_Reasons;Cargo_Mt;Time_Elapsed_Sailing;Time_Elapsed_Maneuvering;Time_Elapsed_Anchoring;Time_Elapsed_Drifting;ME_Consumption_HFO;ME_Consumption_LFO;ME_Consumption_MGO;AE_Consumption_HFO;AE_Consumption_LFO;AE_Consumption_MGO;Boiler_Consumption_HFO;Boiler_Consumption_LFO;Boiler_Consumption_MGO;Inert_gas_Consumption_MGO;ME_Consumption;ME_Consumption_BDN_2;ME_Consumption_BDN_3;AE_Consumption;Boiler_Consumption;Incinerator_Consumption;AE_Consumption_BDN_2;Boiler_Consumption_BDN_2;BDN_ROB;BDN_2_ROB;BDN_3_ROB;BDN_4_ROB;BDN_5_ROB;Cargo_heating_Consumption_HFO;Cargo_heating_Consumption_LFO;Cargo_heating_Consumption_MGO;Discharge_Pump_Work;Discharge_Pump_SFOC;Discharge_Pump_Fuel_Type;DPP_Cargo_Pump_Consumption_MDO;Cargo_Heating_Consumption_BDN;ROB_Fuel_Total;Incinerator_Consumption_BDN_2;Source_System;Last_Updated
2025-01-01;16:00;Noon (Position) - Sea passage;;24;379;N;13;35,55;W;66;3,86;BRARB;USFPO;202407-1-BRARB-USFPO;;14206,53;24;0;0;0;;;;;;;;;;;26,1;;;3,6;;;;;219,7;489,1;;;;;;;0;199,5;;;;708,8;;OVDAPI;2025-11-03 06:57
2025-01-02;16:00;Noon (Position) - Sea passage;;24;380;N;15;3,05;W;72;19,83;BRARB;USFPO;202407-1-BRARB-USFPO;;14206,53;24;0;0;0;;;;;;;;;;;25,9;;;3,7;;;;;219,7;459,5;;;;;;;0;199,5;;;;679,2;;OVDAPI;2025-11-03 06:57
2025-01-03;17:00;Noon (Position) - Sea passage;;25;392;N;16;35,6;W;78;54,2;BRARB;USFPO;202407-1-BRARB-USFPO;;14206,53;25;0;0;0;;;;;;;;;;;26,9;;;4,1;;;;;219,7;428,5;;;;;;;0;199,5;;;;648,2;;OVDAPI;2025-11-03 06:57
2025-01-04;17:00;Noon (Position) - Sea passage;;24;362;N;20;25,09;W;83;56,62;BRARB;USFPO;202407-1-BRARB-USFPO;;14206,53;24;0;0;0;;;;;;;;;;;26,1;;;3,5;;;;;219,7;398,9;;;;;;;0;199,5;;;;618,6;;OVDAPI;2025-11-03 06:57
2025-01-05;18:00;Noon (Position) - Sea passage;;25;397;N;23;32,71;W;90;5,17;BRARB;USFPO;202407-1-BRARB-USFPO;;14206,53;25;0;0;0;;;;;;;;;;;27;;;3,3;;;;;219,7;368,6;;;;;;;0;199,5;;;;588,3;;OVDAPI;2025-11-03 06:57
2025-01-06;18:00;Noon (Position) - Sea passage;;24;331;N;27;5,5;W;94;17,36;BRARB;USFPO;202407-1-BRARB-USFPO;;14206,53;24;0;0;0;;;;;;;;;;;13,8;11,5;;1,6;0,1;;1,9;;206,5;352,9;;;;;;;0;199,5;;;;559,4;;OVDAPI;2025-11-03 06:57
2025-01-07;02:30;End of sea passage;;8,5;115;N;28;45,45;W;95;6,19;BRARB;USFPO;202407-1-BRARB-USFPO;;14206,53;8,5;0;0;0;;;;;;;;;;;9,4;;;1,3;0,1;;;;195,7;352,9;;;;;;;0;199,5;;;;548,6;;OVDAPI;2025-11-03 06:57
2025-01-07;18:00;Noon (Position) - Sea passage;;15,5;5,26;N;28;50,93;W;95;7,48;BRARB;USFPO;202407-1-BRARB-USFPO;;14206,53;0;1;14,5;0;;;;;;;;;;;0,3;;;1,8;0,4;;;;193,2;352,9;;;;;;;0;199,5;;;;546,1;;OVDAPI;2025-11-03 06:57
2025-01-08;05:30;Arrival;;11,5;13,16;N;28;56,59;W;95;19,03;BRARB;USFPO;202407-1-BRARB-USFPO;;14206,53;0;2,25;9,25;0;;;;;;;;;;;0,5;;;1,6;0,3;;;;190,8;352,9;;;;;;;0;199,5;;;;543,7;;OVDAPI;2025-11-03 06:57
2025-01-08;18:00;Noon (Position) - Port;;12,5;0;N;28;56,59;W;95;19,03;USFPO;USFPO;202407-1-BRARB-USFPO;;13245,91;0;0;0;0;;;;;;;;;;;;;;2,2;0,3;;;;188,3;352,9;;;;;;;1617;199,5;;;;541,2;;OVDAPI;2025-11-03 06:57
