Date_UTC;Time_UTC;Event;Purposes_Of_Call;Time_Since_Previous_Report;Distance;Latitude_North_South;Latitude_Degree;Latitude_Minutes;Longitude_East_West;Longitude_Degree;Longitude_Minutes;Voyage_From;Voyage_To;Voyage_Number;Offhire_Reasons;Cargo_Mt;Time_Elapsed_Sailing;Time_Elapsed_Maneuvering;Time_Elapsed_Anchoring;Time_Elapsed_Drifting;ME_Consumption_HFO;ME_Consumption_LFO;ME_Consumption_MGO;AE_Consumption_HFO;AE_Consumption_LFO;AE_Consumption_MGO;Boiler_Consumption_HFO;Boiler_Consumption_LFO;Boiler_Consumption_MGO;Inert_gas_Consumption_MGO;ME_Consumption;ME_Consumption_BDN_2;ME_Consumption_BDN_3;AE_Consumption;Boiler_Consumption;Incinerator_Consumption;AE_Consumption_BDN_2;Boiler_Consumption_BDN_2;BDN_ROB;BDN_2_ROB;BDN_3_ROB;BDN_4_ROB;Cargo_heating_Consumption_HFO;Cargo_heating_Consumption_LFO;Cargo_heating_Consumption_MGO;Discharge_Pump_Work;Discharge_Pump_SFOC;DPP_Cargo_Pump_Consumption_MDO;Cargo_Heating_Consumption_BDN;ROB_Fuel_Total;Incinerator_Consumption_BDN_2;Source_System;Last_Updated
2025-01-01;11:00;Noon (Position) - Port;;24;0;N;51;15,64;E;4;15,39;BEANR;BEANR;202407-7-ESVIL-BEANR;;9797,08;0;0;0;0;;;;;;;;;;;;;;4,6;3,2;;;;59,9;14,1;;;;;;3160,5;185,91;;2,6;74;;OVDAPI;2026-04-15 06:59
2025-01-01;21:45;Departure;CargoOperations;10,75;0;N;51;15,73;E;4;15,51;BEANR;BEANR;202407-7-ESVIL-BEANR;;9797,08;0;0;0;0;;;;;;;;;;;;;;1,9;1,7;;;;56,3;14,1;;;;;;3136,98;185,91;;1,4;70,4;;OVDAPI;2026-04-15 06:59
2025-01-02;04:15;Begin of sea passage;;6,5;63;N;51;42,21;E;3;18,17;BEANR;NLRTM;202407-8-BEANR-NLRTM;;9797,08;0;6,5;0;0;;;;;;;;;;;5,2;;;1,3;0,5;;;;49,3;14,1;;;;;;;185,91;;0,4;63,4;;OVDAPI;2026-04-08 06:28
2025-01-02;06:00;End of sea passage;;1,75;25;N;51;57,91;E;3;40,91;BEANR;NLRTM;202407-8-BEANR-NLRTM;;9797,08;1,75;0;0;0;;;;;;;;;;;1,4;;;0,3;0,1;;;;47,5;14,1;;;;;;;185,91;;0,1;61,6;;OVDAPI;2026-04-08 06:28
2025-01-02;09:35;Arrival;;3,58;27;N;51;53,11;E;4;18,62;BEANR;NLRTM;202407-8-BEANR-NLRTM;;9797,08;0;3,58;0;0;;;;;;;;;;;1,5;;;0,7;0,5;;;;44,8;14,1;;;;;;;185,91;;0,4;58,9;;OVDAPI;2026-04-08 06:28
2025-01-02;11:00;Noon (Position) - Port;;1,42;0;N;51;53,11;E;4;18,62;NLRTM;NLRTM;202407-8-BEANR-NLRTM;;0;0;0;0;0;;;;;;;;;;;;;;0,2;0,2;;;;44,4;14,1;;;;;;;185,91;;0,1;58,5;;OVDAPI;2026-04-08 06:28
2025-01-03;11:00;Noon (Position) - Port;;24;0;N;51;53,11;E;4;18,62;NLRTM;NLRTM;202407-8-BEANR-NLRTM;;0;0;0;0;0;;;;;;;;;;;;;;4,4;2,6;;;;37,4;14,1;1150;;;;;7032,48;185,91;;2,1;1201,5;;OVDAPI;2026-04-08 06:28
2025-01-04;11:00;Noon (Position) - Port;;24;2;N;51;52,9;E;4;16,34;NLRTM;NLRTM;202407-8-BEANR-NLRTM;;0;0;0,72;0;0;;;;;;;;;;;0,3;;;4,1;0,7;;;;32,3;14,1;1150;;;;;6586,02;185,91;;;1196,4;;OVDAPI;2026-04-08 06:28
2025-01-05;11:00;Noon (Position) - Port;;24;3;N;51;52,81;E;4;18,22;NLRTM;NLRTM;202407-8-BEANR-NLRTM;;0;0;1,08;0;0;;;;;;;;;;;0,5;;;3,2;1;;;;27,6;14,1;1150;389,8;;;;;185,91;;;1581,5;;OVDAPI;2026-04-08 06:28
2025-01-06;11:00;Noon (Position) - Port;;24;0;N;51;53,52;E;4;16,99;NLRTM;NLRTM;202407-8-BEANR-NLRTM;;0;0;1,08;0;0;;;;;;;;;;;0,7;;;4,2;1,5;;;;21,2;14,1;1150;389,8;;;;2282,98;185,91;;;1575,1;;OVDAPI;2026-04-08 06:28
2025-01-07;07:45;Noon (Position) - Port;;20,75;0;N;51;53,53;E;4;17,02;NLRTM;NLRTM;202407-8-BEANR-NLRTM;;0;0;0;0;0;;;;;;;;;;;;;;3,2;1,6;;;;16,4;14,1;1150;389,8;;;;;185,91;;;1570,3;;OVDAPI;2026-04-08 06:28
