Date_UTC;Time_UTC;Event;Purposes_Of_Call;Time_Since_Previous_Report;Distance;Latitude_North_South;Latitude_Degree;Latitude_Minutes;Longitude_East_West;Longitude_Degree;Longitude_Minutes;Voyage_From;Voyage_To;Voyage_Number;Offhire_Reasons;Cargo_Mt;Time_Elapsed_Sailing;Time_Elapsed_Maneuvering;Time_Elapsed_Anchoring;Time_Elapsed_Drifting;ME_Consumption_HFO;ME_Consumption_LFO;ME_Consumption_MGO;AE_Consumption_HFO;AE_Consumption_LFO;AE_Consumption_MGO;Boiler_Consumption_HFO;Boiler_Consumption_LFO;Boiler_Consumption_MGO;Inert_gas_Consumption_MGO;ME_Consumption;ME_Consumption_BDN_2;ME_Consumption_BDN_3;AE_Consumption;Boiler_Consumption;Incinerator_Consumption;AE_Consumption_BDN_2;Boiler_Consumption_BDN_2;AE_Consumption_BDN_3;Boiler_Consumption_BDN_3;BDN_ROB;BDN_2_ROB;BDN_3_ROB;BDN_4_ROB;BDN_5_ROB;BDN_6_ROB;Cargo_heating_Consumption_HFO;Cargo_heating_Consumption_LFO;Cargo_heating_Consumption_MGO;Discharge_Pump_Work;Discharge_Pump_SFOC;DPP_Cargo_Pump_Consumption_MDO;Cargo_Heating_Consumption_BDN;ROB_Fuel_Total;Duration_Shore_Side_Electricity_Reception;Source_System;Last_Updated
2025-01-01;17:00;Noon (Position) - Port;;24;0;S;12;0,06;W;77;11,63;P051;P051;VG090;;14855,25;0;0;0;0;;;;;;;;;;;;;;1,5;5,2;;;;;;90,2;153,12;346,6;;;;;;;0;203,62;;4,2;589,92;;OVDAPI;2025-10-30 02:27
2025-01-02;17:00;Noon (Position) - Port;;24;0;S;11;59,99;W;77;11,57;P051;P051;VG090;;14855,25;0;0;0;0;;;;;;;;;;;;;;1,5;3,5;;;;;;85,2;153,12;346,6;;;;;;;0;203,62;;2,5;584,92;;OVDAPI;2025-10-30 02:27
2025-01-03;17:00;Noon (Position) - Port;;24;0;S;12;0,02;W;77;11,63;P051;P051;VG090;;14855,25;0;0;0;0;;;;;;;;;;;;;;1,75;2,1;;;;;;81,35;153,12;346,6;;;;;;;0;203,62;;1,1;581,07;;OVDAPI;2025-10-30 02:27
2025-01-04;17:00;Noon (Position) - Port;;24;0;S;11;59,99;W;77;11,59;P051;P051;VG090;;14855,25;0;0;0;0;;;;;;;;;;;;;;1,62;4,9;;;;;;74,83;153,12;346,6;;;;;;;0;203,62;;3,9;574,55;;OVDAPI;2025-10-30 02:27
2025-01-05;17:00;Noon (Position) - Port;;24;0;S;11;59,99;W;77;11,6;P051;P051;VG090;;14855,25;0;0;0;0;;;;;;;;;;;;;;1,4;6;;;;;;67,43;153,12;346,6;;;;;;;0;203,62;;5;567,15;;OVDAPI;2025-10-30 02:27
2025-01-06;17:00;Noon (Position) - Port;;24;2,6;S;12;1,62;W;77;12,99;P051;P051;VG090;;14855,25;0;1,37;0;0;;;;;;;;;;;0,3;;;1,62;5,3;;;;;;60,21;153,12;346,6;;;;;;;0;203,62;;4,3;559,93;;OVDAPI;2025-10-30 02:27
2025-01-07;17:00;Noon (Position) - Port;;24;2,5;S;12;0,56;W;77;11,75;P051;P051;VG090;;14855,25;0;1,1;0;0;;;;;;;;;;;0,15;;;1,92;5,4;;;;;;52,74;153,12;346,6;200;;;;;;0;203,62;;4,4;752,46;;OVDAPI;2025-10-30 02:27
2025-01-08;17:00;Noon (Position) - Port;;24;0;S;12;0,55;W;77;11,74;P051;P051;VG090;;14855,25;0;0;0;0;;;;;;;;;;;;;;1,74;4,9;;;;;;46,1;153,12;346,6;200;;;;;;0;203,62;;3,9;745,82;;OVDAPI;2025-10-30 02:27
2025-01-09;17:00;Noon (Position) - Port;;24;0;S;12;0,7;W;77;11,66;P051;P051;VG090;;14855,25;0;0;0;0;;;;;;;;;;;;;;1,9;4,9;;;;;;39,3;153,12;346,6;200;;;;;;0;203,62;;3,9;739,02;;OVDAPI;2025-10-30 02:27
2025-01-10;17:00;Noon (Position) - Port;;24;5,1;S;12;2,82;W;77;8,67;P051;P051;VG090;;14855,25;0;3,42;0;0;;;;;;;;;;;0,7;;;1,98;4,8;;;;;;31,82;153,12;346,6;200;;;;;;0;203,62;;3,8;731,54;;OVDAPI;2025-10-30 02:27
