Date_UTC;Time_UTC;Event;Purposes_Of_Call;Time_Since_Previous_Report;Distance;Latitude_North_South;Latitude_Degree;Latitude_Minutes;Longitude_East_West;Longitude_Degree;Longitude_Minutes;Voyage_From;Voyage_To;Voyage_Number;Offhire_Reasons;Cargo_Mt;Time_Elapsed_Sailing;Time_Elapsed_Maneuvering;Time_Elapsed_Anchoring;Time_Elapsed_Drifting;ME_Consumption;ME_Consumption_BDN_2;AE_Consumption;Boiler_Consumption;Incinerator_Consumption;AE_Consumption_BDN_2;Boiler_Consumption_BDN_2;AE_Consumption_BDN_3;Boiler_Consumption_BDN_3;BDN_ROB;BDN_2_ROB;BDN_3_ROB;BDN_4_ROB;BDN_5_ROB;BDN_6_ROB;BDN_7_ROB;Discharge_Pump_Work;Discharge_Pump_SFOC;Cargo_Heating_Consumption_BDN;ROB_Fuel_Total;Incinerator_Consumption_BDN_2;Source_System;Last_Updated
2025-01-01;17:00;Noon (Position) - Sea passage;;24;296;N;19;47,83;W;69;34,33;P059;P014;VG112;;30135,85;24;0;0;0;22,9;;;1,56;;;;;;341,01;3,99;301,44;200,08;;;;;215;1,56;846,52;;OVDAPI;2025-11-13 23:59
2025-01-02;17:00;Noon (Position) - Sea passage;;24;291;N;19;20,99;W;64;27,64;P059;P014;VG112;;30135,85;24;0;0;0;22,5;;;1,6;;;;;;316,91;3,79;301,44;200,08;;;;;215;1,6;822,22;0,2;OVDAPI;2025-11-13 23:59
2025-01-03;17:00;Noon (Position) - Sea passage;;24;284;N;17;19,68;W;60;6,92;P059;P014;VG112;;30135,85;24;0;0;0;22,6;;0,36;1,88;;;;;;292,07;3,79;301,44;200,08;;;;;215;1,88;797,38;;OVDAPI;2025-11-13 23:59
2025-01-04;16:00;Noon (Position) - Sea passage;;23;270;N;14;38,54;W;56;28,23;P059;P014;VG112;;30135,85;23;0;0;0;21,4;;0,6;1,85;;;;;;268,22;3,49;301,44;200,08;;;;;215;1,85;773,23;0,3;OVDAPI;2025-11-13 23:59
2025-01-05;16:00;Noon (Position) - Sea passage;;24;280;N;11;35,13;W;52;42,74;P059;P014;VG112;;30135,85;24;0;0;0;22;;0,48;1,6;;;;;;244,14;3,49;301,44;200,08;;;;;215;1,6;749,15;;OVDAPI;2025-11-13 23:59
2025-01-06;16:00;Noon (Position) - Sea passage;;24;297;N;8;34,95;W;49;0,26;P059;P014;VG112;;30135,85;24;0;0;0;22,2;;0,36;1,69;;;;;;219,89;3,49;301,44;200,08;;;;;215;1,69;724,9;;OVDAPI;2025-11-13 23:59
2025-01-07;15:00;Noon (Position) - Sea passage;;23;275;N;5;41,5;W;45;35,83;P059;P014;VG112;;30135,85;23;0;0;0;21,6;;;1,6;;;;;;196,69;3,49;301,44;200,08;;;;;215;1,6;701,7;;OVDAPI;2025-11-13 23:59
2025-01-08;15:00;Noon (Position) - Sea passage;;24;278;N;2;26,32;W;42;12,32;P059;P014;VG112;;30135,85;24;0;0;0;23;;;1,56;;;;;;172,13;3,49;301,44;200,08;;;;;215;1,56;677,14;;OVDAPI;2025-11-13 23:59
2025-01-09;15:00;Noon (Position) - Sea passage;;24;295;S;0;47,4;W;38;39,08;P059;P014;VG112;;30135,85;24;0;0;0;22,5;;0,84;1,3;;;;;;147,49;3,49;301,44;200,08;;;;;215;1,3;652,5;;OVDAPI;2025-11-13 23:59
2025-01-10;15:00;Noon (Position) - Sea passage;;24;290;S;4;25,44;W;35;21,73;P059;P014;VG112;;30135,85;24;0;0;0;22,6;;1,08;1,2;;;;;;122,61;3,49;301,44;200,08;;;;;215;1,2;627,62;;OVDAPI;2025-11-13 23:59
