Date_UTC;Time_UTC;Event;Purposes_Of_Call;Time_Since_Previous_Report;Distance;Latitude_North_South;Latitude_Degree;Latitude_Minutes;Longitude_East_West;Longitude_Degree;Longitude_Minutes;Voyage_From;Voyage_To;Voyage_Number;Cargo_Mt;Time_Elapsed_Sailing;Time_Elapsed_Maneuvering;Time_Elapsed_Anchoring;Time_Elapsed_Drifting;ME_Consumption_HFO;ME_Consumption_LFO;ME_Consumption_MGO;AE_Consumption_HFO;AE_Consumption_LFO;AE_Consumption_MGO;Boiler_Consumption_HFO;Boiler_Consumption_LFO;Boiler_Consumption_MGO;Inert_gas_Consumption_MGO;ME_Consumption;ME_Consumption_BDN_2;AE_Consumption;Boiler_Consumption;Incinerator_Consumption;AE_Consumption_BDN_2;Boiler_Consumption_BDN_2;AE_Consumption_BDN_3;Boiler_Consumption_BDN_3;BDN_ROB;BDN_2_ROB;BDN_3_ROB;BDN_4_ROB;BDN_5_ROB;Cargo_heating_Consumption_HFO;Cargo_heating_Consumption_LFO;Cargo_heating_Consumption_MGO;Discharge_Pump_Work;Discharge_Pump_SFOC;Discharge_Pump_Fuel_Type;DPP_Cargo_Pump_Consumption_MDO;Cargo_Heating_Consumption_BDN;ROB_Fuel_Total;Incinerator_Consumption_BDN_2;Source_System;Last_Updated
2025-01-01;17:00;Noon (Position) - Sea passage;;23;311;N;23;52,7;W;81;6,48;P060;P049;VG140;33423,47;23;0;0;0;;;;;;;;;;;18,7;;;;;;;;;41,9;597,2;249,63;;;;;;;215;;;;888,73;;OVDAdmin;2026-03-18 21:44
2025-01-02;17:00;Noon (Position) - Sea passage;;24;323;N;27;41,82;W;78;25,71;P060;P049;VG140;33423,47;24;0;0;0;;;;;;;;;;;19,5;;;;;;;;;41,9;577,7;249,63;;;;;;;215;;;;869,23;;OVDAdmin;2026-03-18 21:44
2025-01-03;16:00;Noon (Position) - Sea passage;;23;285;N;28;35,46;W;72;58,29;P060;P049;VG140;33423,47;23;0;0;0;;;;;;;;;;;18,4;;;;;;;;;41,9;559,3;249,63;;;;;;;215;;;;850,83;;OVDAdmin;2026-03-18 21:44
2025-01-04;16:00;Noon (Position) - Sea passage;;24;293;N;29;16,06;W;67;34,16;P060;P049;VG140;33423,47;24;0;0;0;;;;;;;;;;;20,8;;;;;;;;;41,9;538,5;249,63;;;;;;;215;;;;830,03;;OVDAdmin;2026-03-18 21:44
2025-01-05;15:00;Noon (Position) - Sea passage;;23;263;N;29;18,27;W;62;35,39;P060;P049;VG140;33423,47;23;0;0;0;;;;;;;;;;;18,7;;;;;;;;;41,9;519,8;249,63;;;;;;;215;;;;811,33;;OVDAdmin;2026-03-18 21:44
2025-01-06;15:00;Noon (Position) - Sea passage;;24;285;N;29;18,52;W;57;6,97;P060;P049;VG140;33423,47;24;0;0;0;;;;;;;;;;;20,72;;;;;;;;;41,9;499,08;249,63;;;;;;;215;;;;790,61;;OVDAdmin;2026-03-18 21:44
2025-01-07;14:00;Noon (Position) - Sea passage;;23;272;N;29;19,2;W;52;0,6;P060;P049;VG140;33423,47;23;0;0;0;;;;;;;;;;;18,85;;;;;;;;;41,9;480,23;249,63;;;;;;;215;;;;771,76;;OVDAdmin;2026-03-18 21:44
2025-01-08;14:00;Noon (Position) - Sea passage;;24;290;N;29;19,92;W;46;25,72;P060;P049;VG140;33423,47;24;0;0;0;;;;;;;;;;;19,33;;0,3;;;;;;;41,9;460,6;249,63;;;;;;;215;;;;752,13;;OVDAdmin;2026-03-18 21:44
2025-01-09;13:00;Noon (Position) - Sea passage;;23;280;N;29;23,19;W;41;12,8;P060;P049;VG140;33423,47;23;0;0;0;;;;;;;;;;;19,73;;0,1;;;;;;;41,9;440,77;249,63;;;;;;;215;;;;732,3;;OVDAdmin;2026-03-18 21:44
2025-01-10;13:00;Noon (Position) - Sea passage;;24;289;N;32;16,9;W;36;38,3;P060;P049;VG140;33423,47;24;0;0;0;;;;;;;;;;;20,56;;;;;;;;;41,9;420,21;249,63;;;;;;;215;;;;711,74;;OVDAdmin;2026-03-18 21:44
2025-01-11;12:00;Noon (Position) - Sea passage;;23;269;N;34;25,13;W;32;6,29;P060;P049;VG140;33423,47;23;0;0;0;;;;;;;;;;;20,65;;;;0,1;;;;;41,8;399,56;249,63;;;;;;;215;;;;690,99;;OVDAdmin;2026-03-18 21:44
2025-01-12;12:00;Noon (Position) - Sea passage;;24;277;N;37;10,61;W;27;31,97;P060;P049;VG140;33423,47;24;0;0;0;;;;;;;;;;;20,04;;;;;;;;;41,8;379,52;249,63;;;;;;;215;;;;670,95;;OVDAdmin;2026-03-18 21:44
2025-01-13;11:00;Noon (Position) - Sea passage;;23;226;N;39;22,15;W;23;58,28;P060;P049;VG140;33423,47;23;0;0;0;;;;;;;;;;;12,13;;1,27;0,65;;;;;;41,8;365,47;249,63;;;;;;;215;;;0,3;656,9;;OVDAdmin;2026-03-18 21:44
2025-01-14;11:00;Noon (Position) - Sea passage;;24;295;N;42;23,61;W;18;50,72;P060;P049;VG140;33423,47;24;0;0;0;;;;;;;;;;;18,71;;2,15;;;;;;;41,8;344,61;249,63;;;;;;;215;;;;636,04;;OVDAdmin;2026-03-18 21:44
2025-01-15;11:00;Noon (Position) - Sea passage;;24;301;N;45;30,85;W;13;19,42;P060;P049;VG140;33423,47;24;0;0;0;;;;;;;;;;;20,52;;0,45;;;;;;;41,8;323,64;249,63;;;;;;;215;;;;615,07;;OVDAdmin;2026-03-18 21:44
2025-01-16;11:00;Noon (Position) - Sea passage;;24;303;N;48;36,96;W;7;30,2;P060;P049;VG140;33423,47;24;0;0;0;;;;;;;;;;;21,4;;;;;;;;;41,8;302,24;249,63;;;;;;;215;;;;593,67;;OVDAdmin;2026-03-18 21:44
2025-01-17;11:00;Noon (Position) - Sea passage;;24;304;N;50;16,88;W;0;12,39;P060;P049;VG140;33423,47;24;0;0;0;;;;;;;;;;;4,27;15,63;2,15;;;;;;;24,02;297,97;249,63;;;;;;;215;;;;571,62;;OVDAdmin;2026-03-18 21:44
2025-01-17;22:42;End of sea passage;;11,7;129;N;51;22,22;E;2;32,08;P060;P049;VG140;33423,47;11,7;0;0;0;;;;;;;;;;;8,06;;1;;;;;;;14,96;297,97;249,63;;;;;;;215;;;;562,56;;OVDAdmin;2026-03-18 21:44
2025-01-18;08:15;Arrival;;9,55;75,72;N;51;15,66;E;4;15,33;P060;P049;VG140;33423,47;0;9,55;0;0;;;;;;;;;;;2,69;;0,85;;;;;;;11,42;297,97;249,63;;;;;;;215;;;;559,02;;OVDAdmin;2026-03-18 21:44
2025-01-18;11:00;Noon (Position) - Port;;2,75;0;N;51;15,66;E;4;15,33;P049;P049;VG140;10157,63;0;0;0;0;;;;;;;;;;;;;0,3;0,3;;;;;;10,82;297,97;249,63;;;;;;;215;;;;558,42;;OVDAdmin;2026-03-18 21:44
2025-01-19;11:00;Noon (Position) - Port;;24;0;N;51;15,66;E;4;15,33;P049;P049;VG140;10157,63;0;0;0;0;;;;;;;;;;;;;6,59;2,49;;;;;;1,74;297,97;249,63;;;;;;5488;215;;;1,49;549,34;;OVDAdmin;2026-03-18 21:44
2025-01-20;11:00;Noon (Position) - Port;;24;0,41;N;51;15,63;E;4;15,45;P049;P049;VG140;10157,63;0;0,67;0;0;;;;;;;;;;;0,2;;1,54;;;5,38;2,1;;;0;297,97;242,15;;;;;;2886,345;215;;;1,1;540,12;;OVDAdmin;2026-03-18 21:44
2025-01-21;11:00;Noon (Position) - Port;;24;0;N;51;15,63;E;4;15,45;P049;P049;VG140;10157,63;0;0;0;0;;;;;;;;;;;;;4,24;4,5;;;;;;297,97;233,41;;;;;;;1715;215;;;1,5;531,38;;OVDAdmin;2026-03-18 21:44
2025-01-22;11:00;Noon (Position) - Port;;24;0;N;51;15,63;E;4;15,45;P049;P049;VG140;10157,63;0;0;0;0;;;;;;;;;;;;;3,4;2,71;;;;;;297,97;227,3;;;;;;;;215;;;1,71;525,27;;OVDAdmin;2026-03-18 21:44
2025-01-23;11:00;Noon (Position) - Port;;24;0;N;51;15,63;E;4;15,45;P049;P049;VG140;10157,63;0;0;0;0;;;;;;;;;;;;;3,53;2,27;;;;;;297,97;221,5;;;;;;;;215;;;1,27;519,47;;OVDAdmin;2026-03-18 21:44
2025-01-24;11:00;Noon (Position) - Port;;24;0;N;51;15,63;E;4;15,45;P049;P049;VG140;10157,63;0;0;0;0;;;;;;;;;;;;;3,9;2,19;;;;;;297,97;215,41;;;;;;;;215;;;1,19;513,38;;OVDAdmin;2026-03-18 21:44
2025-01-25;11:00;Noon (Position) - Port;;24;8,74;N;51;18,89;E;4;18,39;P049;P049;VG140;10157,63;0;5,92;0;0;;;;;;;;;;;3,63;;4,62;2,1;;;;;;297,97;205,06;;;;;;;2543,345;215;;;1,1;503,03;;OVDAdmin;2026-03-18 21:44
2025-01-26;11:00;Noon (Position) - Port;;24;6,4;N;51;14,91;E;4;23,06;P049;P049;VG140;10157,63;0;1,5;0;0;;;;;;;;;;;1,97;;4,32;1,31;;;;;;297,97;197,46;;;;;;;2344,405;215;;;0,31;495,43;;OVDAdmin;2026-03-18 21:44
2025-01-27;11:00;Noon (Position) - Port;;24;1,04;N;51;14,89;E;4;21,42;P049;P049;VG140;10157,63;0;0,7;0;0;;;;;;;;;;;0,7;;3,45;3,06;;;;;;297,97;190,25;;;;;;;2328,97;215;;;2,06;488,22;;OVDAdmin;2026-03-18 21:44
2025-01-28;11:00;Noon (Position) - Port;;24;36;N;51;20,67;E;3;45,6;P049;P049;VG140;10157,63;0;6,4;0;0;;;;;;;;;;;3,9;;4,9;1,82;;;;;;297,97;179,63;;;;;;;;215;;;0,92;477,6;;OVDAdmin;2026-03-18 21:44
2025-01-29;11:00;Noon (Position) - Port;;24;0;N;51;20,67;E;3;45,6;P049;P049;VG140;10157,63;0;0;0;0;;;;;;;;;;;;;3,15;1,2;;;;;;297,97;175,28;;;;;;;2114,595;215;;;0,3;473,25;;OVDAdmin;2026-03-18 21:44
2025-01-29;12:18;Departure;CargoOperations;1,3;0;N;51;20,67;E;3;45,6;P049;P049;VG140;10157,63;0;0;0;0;;;;;;;;;;;;;0,1;;;;;;;297,97;175,18;;;;;;;;215;;;;473,15;;OVDAdmin;2026-03-18 21:44
2025-01-29;16:06;Begin of sea passage;;3,8;43,68;N;51;22,37;E;2;45,45;P049;P003;VG141;10157,63;0;3,8;0;0;;;;;;;;;;;2,9;;0,5;0,1;;;;;;297,97;171,68;;;;;;;;215;;;0,1;469,65;;OVDAdmin;2026-03-18 21:44
2025-01-30;08:00;End of sea passage;;15,9;134;N;51;56,15;E;3;29,26;P049;P003;VG141;10157,63;15,9;0;0;0;;;;;;;;;;;4,93;;1,12;0,6;;;;;;297,97;165,03;;;;;;;;215;;;0,3;463;;OVDAdmin;2026-03-18 21:44
2025-01-30;11:00;Noon (Position) - Sea passage;;3;28;N;51;55,63;E;4;13,44;P049;P003;VG141;10157,63;0;3;0;0;;;;;;;;;;;0,87;;0,2;;;;;;;297,97;163,96;;;;;;;;215;;;;461,93;;OVDAdmin;2026-03-18 21:44
2025-01-30;12:30;Arrival;;1,5;3,5;N;51;52,9;E;4;16,32;P049;P003;VG141;10157,63;0;1,5;0;0;;;;;;;;;;;0,25;;0,1;;;;;;;297,97;163,61;;;;;;;;215;;;;461,58;;OVDAdmin;2026-03-18 21:44
2025-01-31;11:00;Noon (Position) - Port;;22,5;0;N;51;52,9;E;4;16,32;P003;P003;VG141;8373,82;0;0;0;0;;;;;;;;;;;;;2,95;1,53;;;;;;297,97;159,13;199,89;719,52;;;;;;215;;;0,73;1376,51;;OVDAdmin;2026-03-18 21:44
