Date_UTC;Time_UTC;Event;Purposes_Of_Call;Time_Since_Previous_Report;Distance;Latitude_North_South;Latitude_Degree;Latitude_Minutes;Longitude_East_West;Longitude_Degree;Longitude_Minutes;Voyage_From;Voyage_To;Voyage_Number;Cargo_Mt;Time_Elapsed_Sailing;Time_Elapsed_Maneuvering;Time_Elapsed_Anchoring;Time_Elapsed_Drifting;ME_Consumption;ME_Consumption_BDN_2;AE_Consumption;Boiler_Consumption;AE_Consumption_BDN_2;Boiler_Consumption_BDN_2;BDN_ROB;BDN_2_ROB;BDN_3_ROB;BDN_4_ROB;BDN_5_ROB;Discharge_Pump_Work;Discharge_Pump_SFOC;Cargo_Heating_Consumption_BDN;ROB_Fuel_Total;Source_System;Last_Updated
2025-01-01;18:00;Noon (Position) - Port;;24;42;N;29;44,25;W;95;7,72;USHOU;USHOU;202405-4-NLRTM-USHOU;18847,98;0;5,45;0;0;4,6;;3,6;0,9;;;64,97;35,6;649,7;150,13;200;;215;;1100,4;OVDAdmin;2026-02-05 01:44
2025-01-02;18:00;Noon (Position) - Port;;24;49;N;29;14,2;W;94;36,69;USHOU;USHOU;202405-4-NLRTM-USHOU;18847,98;0;5,08;0;0;5,2;;3,7;0,9;;;55,17;35,6;649,7;150,13;200;;215;;1090,6;OVDAdmin;2026-02-05 01:44
2025-01-03;18:00;Noon (Position) - Port;;24;0;N;29;14,19;W;94;36,7;USHOU;USHOU;202405-4-NLRTM-USHOU;18847,98;0;0;0;0;;;3,2;0,9;;;51,07;35,6;649,7;150,13;200;;215;;1086,5;OVDAdmin;2026-02-05 01:44
2025-01-04;18:00;Noon (Position) - Port;;24;50;N;29;44,6;W;95;5,9;USHOU;USHOU;202405-4-NLRTM-USHOU;18847,98;0;6,33;0;0;5,3;;3,7;0,9;;;41,17;35,6;649,7;150,13;200;;215;;1076,6;OVDAdmin;2026-02-05 01:44
2025-01-05;18:00;Noon (Position) - Port;;24;48;N;29;12,96;W;94;35,54;USHOU;USHOU;202405-4-NLRTM-USHOU;18847,98;0;5,02;0;0;5,2;;4,5;1,4;;;30,07;35,6;649,7;150,13;200;;215;0,6;1065,5;OVDAdmin;2026-02-05 01:44
2025-01-06;18:00;Noon (Position) - Port;;24;50;N;29;44,69;W;95;5,78;USHOU;USHOU;202405-4-NLRTM-USHOU;18847,98;0;5,75;0;0;5,3;;4,2;1,9;;;18,67;35,6;649,7;150,13;200;;215;1;1054,1;OVDAdmin;2026-02-05 01:44
2025-01-07;18:00;Noon (Position) - Port;;24;0;N;29;44,69;W;95;5,78;USHOU;USHOU;202405-4-NLRTM-USHOU;18847,98;0;0;0;0;;;5,8;2,2;;;10,67;35,6;649,7;150,13;200;;215;1,3;1046,1;OVDAdmin;2026-02-05 01:44
2025-01-07;19:58;Departure;CargoOperations;1,97;0;N;29;44,69;W;95;5,79;USHOU;USHOU;202405-4-NLRTM-USHOU;18847,98;0;0;0;0;;;0,5;0,3;;;9,87;35,6;649,7;150,13;200;;215;0,2;1045,3;OVDAdmin;2026-02-05 01:44
2025-01-08;00:30;Begin of sea passage;;4,53;43;N;29;16,89;W;94;36,79;USHOU;USFPO;202406-1-USHOU-USFPO;18847,98;0;4,53;0;0;4,3;;1,2;;;;4,37;35,6;649,7;150,13;200;0;215;;1039,8;OVDAdmin;2026-02-05 01:44
2025-01-08;03:42;End of sea passage;;3,2;14,38;N;28;49,3;W;95;0,23;USHOU;USFPO;202406-1-USHOU-USFPO;18847,98;3,2;0;0;0;3,3;;0,7;;;;0,37;35,6;649,7;150,13;200;0;215;;1035,8;OVDAdmin;2026-02-05 01:44
2025-01-08;18:00;Noon (Position) - Sea passage;;14,3;1;N;28;49,58;W;95;8,47;USHOU;USFPO;202406-1-USHOU-USFPO;18847,98;0;1,2;13,1;0;0,37;0,43;2,4;1,2;;;0;35,6;649,7;146,1;200;0;215;;1031,4;OVDAdmin;2026-02-05 01:44
2025-01-08;20:00;Arrival;;2;12;N;28;56,6;W;95;19,03;USHOU;USFPO;202406-1-USHOU-USFPO;18847,98;0;2;0;0;1,3;;0,3;;;;35,6;649,7;144,5;200;;0;215;;1029,8;OVDAdmin;2026-02-05 01:44
2025-01-09;18:00;Noon (Position) - Port;;22;0;N;28;56,6;W;95;19,03;USFPO;USFPO;202406-1-USHOU-USFPO;23003,49;0;0;0;0;;;4;1,7;;;35,6;649,7;138,8;200;;0;215;;1024,1;OVDAdmin;2026-02-05 01:44
2025-01-10;18:00;Noon (Position) - Port;;24;0;N;28;56,6;W;95;19,03;USFPO;USFPO;202406-1-USHOU-USFPO;23003,49;0;0;0;0;;;5;2,7;;;35,6;649,7;131,1;200;;0;215;1,9;1016,4;OVDAdmin;2026-02-05 01:44
2025-01-11;14:08;Departure;;20,13;0;N;28;56,6;W;95;19,03;USFPO;USFPO;202406-1-USHOU-USFPO;23003,49;0;0;0;0;;;4,2;3,5;;;35,6;649,7;123,4;200;;0;215;2,7;1008,7;OVDAdmin;2026-02-05 01:44
2025-01-11;14:48;Begin of sea passage;;0,67;6;N;28;52,99;W;95;14,55;USFPO;USBTR;202406-2-USFPO-USBTR;23003,49;0;0,67;0;0;0,8;;0,2;;;;35,6;649,7;122,4;200;;0;215;;1007,7;OVDAdmin;2026-02-05 01:44
2025-01-11;18:00;Noon (Position) - Sea passage;;3,2;42;N;28;23,17;W;94;43,43;USFPO;USBTR;202406-2-USFPO-USBTR;23003,49;3,2;0;0;0;2,7;;0,5;;;;35,6;649,7;119,2;200;;0;215;;1004,5;OVDAdmin;2026-02-05 01:44
2025-01-12;18:00;Noon (Position) - Sea passage;;24;317;N;28;35,11;W;89;39,19;USFPO;USBTR;202406-2-USFPO-USBTR;23003,49;24;0;0;0;23,3;;4,5;;;;35,6;649,7;91,4;200;;0;215;;976,7;OVDAdmin;2026-02-05 01:44
