Date_UTC;Time_UTC;Event;Purposes_Of_Call;Time_Since_Previous_Report;Distance;Latitude_North_South;Latitude_Degree;Latitude_Minutes;Longitude_East_West;Longitude_Degree;Longitude_Minutes;Voyage_From;Voyage_To;Voyage_Number;Offhire_Reasons;Cargo_Mt;Time_Elapsed_Sailing;Time_Elapsed_Maneuvering;Time_Elapsed_Anchoring;Time_Elapsed_Drifting;ME_Consumption;ME_Consumption_BDN_2;AE_Consumption;Boiler_Consumption;AE_Consumption_BDN_2;Boiler_Consumption_BDN_2;AE_Consumption_BDN_3;BDN_ROB;BDN_2_ROB;BDN_3_ROB;BDN_4_ROB;Discharge_Pump_Work;Discharge_Pump_SFOC;ROB_Fuel_Total;Duration_Shore_Side_Electricity_Reception;Source_System;Last_Updated
2025-01-01;15:00;Noon (Position) - Sea passage;;24;15;S;22;55,02;W;70;28,55;PECLL;CLMJS;202429-1-PECLL-CLMJS;;15007,56;0;24;0;0;0,3;;;0,6;2,2;;;44,1;68,7;360;;0;215;472,8;;OVDAPI;2025-10-30 02:42
2025-01-02;15:00;Noon (Position) - Sea passage;;24;12;S;22;49,73;W;70;27,9;PECLL;CLMJS;202429-1-PECLL-CLMJS;;15007,56;0;24;0;0;0,2;;;0,6;1,1;;;43,5;67,4;360;;0;215;470,9;;OVDAPI;2025-10-30 02:42
2025-01-03;15:00;Noon (Position) - Sea passage;;24;25;S;22;54,46;W;70;28,2;PECLL;CLMJS;202429-1-PECLL-CLMJS;;15007,56;0;24;0;0;0,5;;;0,6;1,1;;;42,9;65,8;360;;0;215;468,7;;OVDAPI;2025-10-30 02:42
2025-01-04;15:00;Noon (Position) - Sea passage;;24;26;S;22;52,91;W;70;27,86;PECLL;CLMJS;202429-1-PECLL-CLMJS;;15007,56;0;24;0;0;0,3;;;0,6;1,1;;;42,3;64,4;360;;0;215;466,7;;OVDAPI;2025-10-30 02:42
2025-01-05;15:00;Noon (Position) - Sea passage;;24;15;S;22;54,8;W;70;29,14;PECLL;CLMJS;202429-1-PECLL-CLMJS;;15007,56;0;24;0;0;0,5;;;0,6;1,1;;;41,7;62,8;360;;0;215;464,5;;OVDAPI;2025-10-30 02:42
2025-01-06;15:00;Noon (Position) - Sea passage;;24;22;S;22;54,48;W;70;28,93;PECLL;CLMJS;202429-1-PECLL-CLMJS;;15007,56;0;24;0;0;0,3;;;0,6;1,1;;;41,1;61,4;360;;0;215;462,5;;OVDAPI;2025-10-30 02:42
2025-01-07;15:00;Noon (Position) - Sea passage;;24;18;S;22;55,22;W;70;28,04;PECLL;CLMJS;202429-1-PECLL-CLMJS;;15007,56;0;24;0;0;0,2;;;0,6;1,1;;;40,5;60,1;360;;0;215;460,6;;OVDAPI;2025-10-30 02:42
2025-01-08;15:00;Noon (Position) - Sea passage;;24;12;S;22;51,68;W;70;23,43;PECLL;CLMJS;202429-1-PECLL-CLMJS;;15007,56;0;24;0;0;0,2;;;0,6;1,1;;;39,9;58,8;360;;0;215;458,7;;OVDAPI;2025-10-30 02:42
2025-01-09;15:00;Noon (Position) - Sea passage;;24;15;S;23;4,41;W;70;26,84;PECLL;CLMJS;202429-1-PECLL-CLMJS;;15007,56;0;24;0;0;0,7;;;0,6;1,1;;;39,3;57;360;;0;215;456,3;;OVDAPI;2025-10-30 02:42
2025-01-10;15:00;Noon (Position) - Sea passage;;24;8;S;23;4,86;W;70;27,09;PECLL;CLMJS;202429-1-PECLL-CLMJS;;15007,56;0;0,9;23,1;0;0,1;;;0,6;1,2;;;38,7;55,7;360;;0;215;454,4;;OVDAPI;2025-10-30 02:42
