purchase_status,requirement_id,vessel,voyage_no,port,fuel_type,delivery_date,delivery_month,delivery_year,vendor,supplier,ordered_qty,invoiced_qty,effective_qty,order_price,invoice_price,effective_price,cost_value
Invoiced,6389,V001,VOY019,P004,LSF,2020-10-03,2020-10,2020,VEND010,SUP012,297.5,297.5,297.5,328.17,328.17,328.17,97630.57500000001
Invoiced,6906,V001,VOY023,P004,LSF,2021-03-13,2021-03,2021,VEND010,SUP012,247.25,247.25,247.25,534.52,534.52,534.52,132160.07
Invoiced,7069,V001,VOY025,P004,LSF,2021-05-04,2021-05,2021,VEND010,SUP012,249.61,249.61,249.61,501.77,501.77,501.77,125246.8097
Invoiced,7489,V001,VOY030,P004,LSF,2021-09-25,2021-09,2021,VEND010,SUP012,258.93,258.93,258.93,547.24,547.24,547.24,141696.8532
Invoiced,5700,V001,VOY007,P004,LSF,2020-01-15,2020-01,2020,VEND013,SUP016,239.87,239.87,239.87,688.0,688.0,688.0,165030.56
Invoiced,5818,V001,VOY010,P004,LSF,2020-03-03,2020-03,2020,VEND020,SUP023,238.75,238.75,238.75,489.0,489.0,489.0,116748.75
Invoiced,10089,V002,VOY062,P001,LSF,2024-09-26,2024-09,2024,VEND001,SUP001,1099.0,1099.0,1099.0,563.0,563.0,563.0,618737.0
Invoiced,8547,V002,VOY040,P003,LSF,2022-10-21,2022-10,2022,VEND004,SUP003,699.87,699.87,699.87,647.25,647.25,647.25,452990.8575
Lifted,9379,V002,VOY050,P003,LSF,2023-10-29,2023-10,2023,VEND004,SUP003,750.55,750.55,750.55,591.0,591.0,591.0,443575.05
Invoiced,7877,V002,VOY034,P003,LSF,2022-02-04,2022-02,2022,VEND008,SUP009,700.0,699.79,699.79,692.25,692.25,692.25,484429.6275
Invoiced,8122,V002,VOY036,P003,LSF,2022-04-22,2022-04,2022,VEND008,SUP009,400.49,400.49,400.49,790.25,790.25,790.25,316487.22250000003
Invoiced,8768,V002,VOY042,P003,LSF,2023-02-02,2023-02,2023,VEND008,SUP009,749.41,749.41,749.41,582.5,582.25,582.25,436343.9725
Invoiced,9483,V002,VOY052,P003,LSF,2024-02-02,2024-02,2024,VEND008,SUP009,749.8,748.96,748.96,573.0,573.0,573.0,429154.08
Invoiced,9289,V002,VOY050,P004,LSF,2023-09-18,2023-09,2023,VEND010,SUP012,746.83,746.83,746.83,659.45,659.45,659.45,492497.0435000001
