scenario_id,delivery_month,selected_port,demand_qty,selected_price,base_price,selected_price_source,available_port_count,scenario_cost,baseline_model_cost,delta_vs_baseline_month
baseline,2020-01,P003,13310.42,546.7,546.7,observed,3,7276806.61,7276806.61,0.0
baseline,2020-02,P004,4726.55,463.87,463.87,observed,3,2192504.75,2192504.75,-0.0
baseline,2020-03,P003,13831.0,342.51,342.51,observed,3,4737255.81,4737255.81,0.0
baseline,2020-04,P003,11002.3,189.34,189.34,observed,3,2083175.48,2083175.48,0.0
baseline,2020-05,P001,10463.26,175.65,175.65,observed,3,1837871.62,1837871.62,-0.0
baseline,2020-06,P003,12443.47,277.35,277.35,observed,3,3451196.4,3451196.4,0.0
baseline,2020-07,P003,15995.61,311.81,311.81,observed,3,4987591.15,4987591.15,0.0
baseline,2020-08,P003,13566.38,315.07,315.07,observed,3,4274359.35,4274359.35,-0.0
baseline,2020-09,P003,11231.07,306.25,306.25,observed,3,3439515.19,3439515.19,-0.0
baseline,2020-10,P003,10387.28,308.09,308.09,observed,3,3200217.1,3200217.1,-0.0
baseline,2020-11,P003,12995.73,335.6,335.6,observed,3,4361366.99,4361366.99,-0.0
baseline,2020-12,P003,8910.43,372.09,372.09,observed,3,3315481.9,3315481.9,-0.0
baseline,2021-01,P003,10701.19,408.25,408.25,observed,3,4368760.82,4368760.82,-0.0
baseline,2021-02,P003,10528.51,461.29,461.29,observed,3,4856696.38,4856696.38,-0.0
baseline,2021-03,P002,14587.02,480.34,480.34,observed,4,7006729.19,7006729.19,-0.0
baseline,2021-04,P003,18608.42,470.79,470.79,observed,4,8760658.05,8760658.05,0.0
baseline,2021-05,P002,15514.42,473.74,473.74,observed,4,7349801.33,7349801.33,0.0
baseline,2021-06,P002,20076.91,504.82,504.82,observed,4,10135225.71,10135225.71,-0.0
baseline,2021-07,P002,18752.04,521.05,521.05,observed,4,9770750.44,9770750.44,0.0
baseline,2021-08,P003,16146.5,496.82,496.82,observed,4,8021904.13,8021904.13,0.0
baseline,2021-09,P002,15797.77,510.19,510.19,observed,4,8059864.28,8059864.28,-0.0
baseline,2021-10,P002,18652.75,542.72,542.72,observed,4,10123220.48,10123220.48,0.0
baseline,2021-11,P003,15205.99,565.76,565.76,observed,4,8602940.9,8602940.9,0.0
baseline,2021-12,P002,17306.96,538.86,538.86,observed,4,9326028.47,9326028.47,-0.0
baseline,2022-01,P002,19013.22,567.65,567.65,observed,4,10792854.33,10792854.33,0.0
baseline,2022-02,P002,17285.51,682.6,682.6,observed,4,11799089.13,11799089.13,-0.0
baseline,2022-03,P002,20026.34,813.08,813.08,observed,4,16283016.53,16283016.53,-0.0
baseline,2022-04,P003,19402.96,797.6,797.6,observed,4,15475800.9,15475800.9,-0.0
baseline,2022-05,P003,13088.65,813.49,813.49,observed,4,10647485.89,10647485.89,-0.0
baseline,2022-06,P003,16373.06,913.0,913.0,observed,4,14948603.78,14948603.78,0.0
baseline,2022-07,P003,15781.58,817.25,817.25,observed,4,12897496.26,12897496.26,-0.0
baseline,2022-08,P003,15091.24,727.28,727.28,observed,4,10975557.03,10975557.03,-0.0
baseline,2022-09,P003,10806.03,653.04,653.04,observed,4,7056769.83,7056769.83,0.0
baseline,2022-10,P003,16938.84,646.32,646.32,observed,4,10947911.07,10947911.07,-0.0
baseline,2022-11,P003,15372.2,628.15,628.15,observed,4,9656047.43,9656047.43,0.0
baseline,2022-12,P003,12352.24,551.64,551.64,observed,4,6813989.67,6813989.67,0.0
baseline,2023-01,P003,22316.23,541.93,541.93,observed,4,12093834.52,12093834.52,0.0
baseline,2023-02,P003,14140.08,575.71,575.71,observed,4,8140585.46,8140585.46,-0.0
baseline,2023-03,P003,17888.77,551.29,551.29,observed,4,9861900.01,9861900.01,0.0
baseline,2023-04,P003,13062.6,564.8,564.8,observed,4,7377756.48,7377756.48,-0.0
baseline,2023-05,P003,16742.08,512.93,512.93,observed,4,8587515.09,8587515.09,0.0
baseline,2023-06,P002,12240.36,514.44,514.44,observed,4,6296930.8,6296930.8,-0.0
baseline,2023-07,P002,18658.06,527.64,527.64,observed,4,9844738.78,9844738.78,-0.0
baseline,2023-08,P001,11595.92,569.43,569.43,observed,4,6603064.73,6603064.73,-0.0
baseline,2023-09,P003,16479.4,609.19,609.19,observed,4,10039085.69,10039085.69,-0.0
baseline,2023-10,P002,11936.04,615.75,615.75,observed,4,7349616.63,7349616.63,0.0
baseline,2023-11,P002,12376.79,572.31,572.31,observed,4,7083360.68,7083360.68,0.0
baseline,2023-12,P003,16856.3,539.16,539.16,observed,4,9088242.71,9088242.71,-0.0
baseline,2024-01,P003,12649.64,551.92,551.92,observed,4,6981589.31,6981589.31,-0.0
baseline,2024-02,P003,14565.89,585.09,585.09,observed,4,8522356.58,8522356.58,0.0
baseline,2024-03,P003,17892.46,606.36,606.36,observed,4,10849272.05,10849272.05,-0.0
baseline,2024-04,P003,14919.49,618.52,618.52,observed,4,9228002.95,9228002.95,0.0
